date,symbol,iv
2026-06-10,AGG,0.000000
2026-06-10,AI,0.031300
2026-06-10,AIQ,0.000000
2026-06-10,AMAT,0.003900
2026-06-10,AMC,0.062500
2026-06-10,AMD,0.000000
2026-06-10,AMSC,0.031300
2026-06-10,AMZN,0.007800
2026-06-10,ARKG,0.000000
2026-06-10,ARKK,0.000100
2026-06-10,ASHR,0.003900
2026-06-10,ASTS,0.007800
2026-06-10,AWK,0.000000
2026-06-10,BABA,0.003900
2026-06-10,BAC,0.000000
2026-06-10,BB,0.031300
2026-06-10,BBAI,0.015600
2026-06-10,BBBY,0.000000
2026-06-10,BE,0.003900
2026-06-10,BEKE,0.007800
2026-06-10,BIDU,0.000000
2026-06-10,BITO,0.015600
2026-06-10,BLDP,0.125000
2026-06-10,BLNK,0.000000
2026-06-10,BMY,0.000000
2026-06-10,BND,0.002000
2026-06-10,BOTZ,0.015600
2026-06-10,BSX,0.002000
2026-06-10,BTBT,0.250000
2026-06-10,BWA,0.000000
2026-06-10,BYND,0.000000
2026-06-10,BZUN,0.000000
2026-06-10,C,0.003900
2026-06-10,CAVA,0.000000
2026-06-10,CDNS,0.000000
2026-06-10,CELH,0.000000
2026-06-10,CHPT,0.031300
2026-06-10,CIBR,0.000000
2026-06-10,CIFR,0.000000
2026-06-10,CIG,0.000000
2026-06-10,CINF,0.015600
2026-06-10,CL,0.003900
2026-06-10,CLOV,0.125000
2026-06-10,CLSK,0.007800
2026-06-10,CLX,0.031300
2026-06-10,CMG,0.007800
2026-06-10,COF,0.000000
2026-06-10,COP,0.003900
2026-06-10,CORN,0.000000
2026-06-10,CPNG,0.015600
2026-06-10,CPRT,0.062500
2026-06-10,CRM,0.000000
2026-06-10,CRWD,0.000300
2026-06-10,CSIQ,0.000000
2026-06-10,CTSH,0.000000
2026-06-10,CTVA,0.000000
2026-06-10,CVNA,0.000000
2026-06-10,CVS,0.000000
2026-06-10,CVX,0.007800
2026-06-10,D,0.000000
2026-06-10,DAL,0.000000
2026-06-10,DBC,0.000000
2026-06-10,DDOG,0.002000
2026-06-10,DG,0.000000
2026-06-10,DGX,0.000000
2026-06-10,DLTR,0.000000
2026-06-10,DOCU,0.000000
2026-06-10,DQ,0.062500
2026-06-10,DTE,0.000000
2026-06-10,DVN,0.000000
2026-06-10,DXC,0.031300
2026-06-10,DXCM,0.000000
2026-06-10,ECL,0.000000
2026-06-10,EDU,0.000000
2026-06-10,EEM,0.007800
2026-06-10,EL,0.007800
2026-06-10,ELF,0.015600
2026-06-10,ENPH,0.015600
2026-06-10,ES,0.015600
2026-06-10,EVRG,0.007800
2026-06-10,EWY,0.000000
2026-06-10,EWZ,0.007800
2026-06-10,EXC,0.000000
2026-06-10,F,0.007800
2026-06-10,FBTC,0.000000
2026-06-10,FCEL,0.002000
2026-06-10,FCX,0.000000
2026-06-10,FINV,0.062500
2026-06-10,FISV,0.000000
2026-06-10,FMC,0.125000
2026-06-10,FOUR,0.062500
2026-06-10,FRT,0.007800
2026-06-10,FSLR,0.002000
2026-06-10,FTNT,0.000000
2026-06-10,FUBO,0.000000
2026-06-10,FUTU,0.003900
2026-06-10,FVRR,0.000000
2026-06-10,FXI,0.000000
2026-06-10,GBTC,0.000000
2026-06-10,GDX,0.002000
2026-06-10,GE,0.000000
2026-06-10,GGB,0.250000
2026-06-10,GILD,0.000000
2026-06-10,GLBE,0.000000
2026-06-10,GLD,0.001000
2026-06-10,GME,0.031300
2026-06-10,GOOG,0.001000
2026-06-10,GOOGL,0.003900
2026-06-10,GRAB,0.125000
2026-06-10,HACK,0.000000
2026-06-10,HAL,0.000000
2026-06-10,HALO,0.000000
2026-06-10,HBAN,0.031300
2026-06-10,HD,0.007800
2026-06-10,HIMS,0.002000
2026-06-10,HON,0.000000
2026-06-10,HOOD,0.007800
2026-06-10,HPE,0.007800
2026-06-10,HPQ,0.007800
2026-06-10,HST,0.015600
2026-06-10,HUT,0.007800
2026-06-10,HUYA,0.015600
2026-06-10,IBIT,0.000000
2026-06-10,ICE,0.007800
2026-06-10,IEF,0.003900
2026-06-10,IJH,0.007800
2026-06-10,INTC,0.002000
2026-06-10,INTU,0.007800
2026-06-10,IONQ,0.015600
2026-06-10,IP,0.000000
2026-06-10,IQ,0.000000
2026-06-10,IREN,0.000000
2026-06-10,IVZ,0.007800
2026-06-10,IWM,0.000000
2026-06-10,J,0.000000
2026-06-10,JD,0.000000
2026-06-10,JKHY,0.031300
2026-06-10,JKS,0.000000
2026-06-10,JNJ,0.003900
2026-06-10,JPM,0.000000
2026-06-10,KC,0.125000
2026-06-10,KEY,0.000000
2026-06-10,KEYS,0.000000
2026-06-10,KIM,0.000000
2026-06-10,KMB,0.007800
2026-06-10,KMI,0.015600
2026-06-10,KO,0.000000
2026-06-10,KSS,0.000000
2026-06-10,KWEB,0.000000
2026-06-10,LCID,0.000000
2026-06-10,LEN,0.007800
2026-06-10,LI,0.000000
2026-06-10,LNC,0.000000
2026-06-10,LOW,0.002000
2026-06-10,LRCX,0.002000
2026-06-10,LU,0.250000
2026-06-10,LUNR,0.003900
2026-06-10,LUV,0.000000
2026-06-10,LX,0.000000
2026-06-10,LYFT,0.031300
2026-06-10,MARA,0.031300
2026-06-10,MCD,0.002000
2026-06-10,MHK,0.000000
2026-06-10,MKC,0.062500
2026-06-10,MMM,0.015600
2026-06-10,MO,0.015600
2026-06-10,MOMO,0.062500
2026-06-10,MOS,0.031300
2026-06-10,MRK,0.007800
2026-06-10,MRNA,0.000000
2026-06-10,MRVL,0.003900
2026-06-10,MS,0.000000
2026-06-10,MSFT,0.000000
2026-06-10,MSOS,0.007800
2026-06-10,MU,0.000000
2026-06-10,NCLH,0.000000
2026-06-10,NEE,0.003900
2026-06-10,NEM,0.007800
2026-06-10,NET,0.000000
2026-06-10,NIO,0.125000
2026-06-10,NKE,0.000000
2026-06-10,NOK,0.031300
2026-06-10,NOV,0.015600
2026-06-10,NRG,0.001000
2026-06-10,NTAP,0.000100
2026-06-10,NTLA,0.015600
2026-06-10,NWL,0.000000
2026-06-10,NWSA,0.000000
2026-06-10,O,0.000000
2026-06-10,OKE,0.000000
2026-06-10,OKTA,0.001000
2026-06-10,ON,0.000100
2026-06-10,ORCL,0.000000
2026-06-10,OXY,0.015600
2026-06-10,PATH,0.000000
2026-06-10,PBR,0.031300
2026-06-10,PDD,0.000000
2026-06-10,PEP,0.003900
2026-06-10,PFE,0.000000
2026-06-10,PG,0.003900
2026-06-10,PINS,0.007800
2026-06-10,PLTR,0.000000
2026-06-10,PLUG,0.062500
2026-06-10,PM,0.000000
2026-06-10,PPL,0.015600
2026-06-10,PRCT,0.062500
2026-06-10,PYPL,0.003900
2026-06-10,QCOM,0.000000
2026-06-10,QFIN,0.125000
2026-06-10,QQQ,0.000500
2026-06-10,QS,0.062500
2026-06-10,QUBT,0.000000
2026-06-10,RBLX,0.000300
2026-06-10,RCL,0.002000
2026-06-10,RDW,0.000000
2026-06-10,RF,0.031300
2026-06-10,RGTI,0.000000
2026-06-10,RIOT,0.015600
2026-06-10,RIVN,0.000000
2026-06-10,RJF,0.000000
2026-06-10,RKLB,0.000000
2026-06-10,RKT,0.000000
2026-06-10,ROKU,0.002000
2026-06-10,ROL,0.000000
2026-06-10,RSG,0.000000
2026-06-10,RTX,0.007800
2026-06-10,RUN,0.000000
2026-06-10,RVLV,0.000000
2026-06-10,SBUX,0.000000
2026-06-10,SCHD,0.007800
2026-06-10,SCHW,0.007800
2026-06-10,SE,0.003900
2026-06-10,SEDG,0.007800
2026-06-10,SHOP,0.000000
2026-06-10,SHY,0.002000
2026-06-10,SID,0.000000
2026-06-10,SILJ,0.015600
2026-06-10,SLB,0.007800
2026-06-10,SLV,0.000000
2026-06-10,SMCI,0.000000
2026-06-10,SMH,0.000000
2026-06-10,SNAP,0.000000
2026-06-10,SNDL,0.062500
2026-06-10,SNOW,0.003900
2026-06-10,SOFI,0.007800
2026-06-10,SOUN,0.000000
2026-06-10,SOYB,0.000000
2026-06-10,SPCE,0.000000
2026-06-10,SPXS,0.002000
2026-06-10,SPY,0.000000
2026-06-10,SQQQ,0.000000
2026-06-10,SRE,0.000000
2026-06-10,STEM,0.000000
2026-06-10,T,0.000000
2026-06-10,TAL,0.000000
2026-06-10,TAP,0.000000
2026-06-10,TBT,0.000000
2026-06-10,TDOC,0.031300
2026-06-10,TGT,0.007800
2026-06-10,TIGR,0.000000
2026-06-10,TJX,0.002000
2026-06-10,TLRY,0.000000
2026-06-10,TLT,0.000000
2026-06-10,TMF,0.000000
2026-06-10,TMHC,0.000000
2026-06-10,TOL,0.015600
2026-06-10,TREX,0.031300
2026-06-10,TRMB,0.062500
2026-06-10,TSCO,0.003900
2026-06-10,TSLA,0.003900
2026-06-10,TSN,0.031300
2026-06-10,TTD,0.015600
2026-06-10,TTWO,0.003900
2026-06-10,TWLO,0.003900
2026-06-10,TXN,0.000000
2026-06-10,TXRH,0.015600
2026-06-10,U,0.007800
2026-06-10,UA,0.000000
2026-06-10,UAA,0.062500
2026-06-10,UAL,0.007800
2026-06-10,UBER,0.000000
2026-06-10,UGP,0.062500
2026-06-10,UHS,0.000000
2026-06-10,UNG,0.031300
2026-06-10,UPS,0.003900
2026-06-10,UPST,0.000000
2026-06-10,URA,0.000000
2026-06-10,USB,0.000000
2026-06-10,UVXY,0.000000
2026-06-10,UWMC,0.031300
2026-06-10,V,0.000000
2026-06-10,VALE,0.000000
2026-06-10,VFC,0.000000
2026-06-10,VRT,0.003900
2026-06-10,VT,0.000000
2026-06-10,VWO,0.000000
2026-06-10,VZ,0.007800
2026-06-10,WDAY,0.000000
2026-06-10,WEAT,0.000000
2026-06-10,WFC,0.000100
2026-06-10,WMB,0.015600
2026-06-10,WMT,0.002000
2026-06-10,WY,0.031300
2026-06-10,XLE,0.003900
2026-06-10,XLF,0.002000
2026-06-10,XLP,0.000000
2026-06-10,XLRE,0.002000
2026-06-10,XLV,0.007800
2026-06-10,XOM,0.002000
2026-06-10,XPEV,0.003900
2026-06-10,XRAY,0.000000
2026-06-10,XYL,0.000000
2026-06-10,YMM,0.000000
2026-06-10,ZM,0.003900
2026-06-10,ZS,0.003900
2026-06-10,AAPL,0.000000
2026-06-10,ABEV,0.000000
2026-06-10,ABNB,0.000000
2026-06-10,ABT,0.000000
2026-06-10,ACN,0.000000
2026-06-10,ADM,0.000000
2026-06-10,AFRM,0.000000
2026-06-10,AGG,0.000000
2026-06-10,AI,0.031300
2026-06-10,AIQ,0.000000
2026-06-10,AMAT,0.003900
2026-06-10,AMC,0.062500
2026-06-10,AMD,0.000000
2026-06-10,AMSC,0.031300
2026-06-10,AMZN,0.007800
2026-06-10,ARKG,0.000000
2026-06-10,ARKK,0.000100
2026-06-10,ASHR,0.003900
2026-06-10,ASTS,0.007800
2026-06-10,AWK,0.000000
2026-06-10,BABA,0.003900
2026-06-10,BAC,0.000000
2026-06-10,AAPL,0.000000
2026-06-10,ABEV,0.000000
2026-06-10,ABNB,0.000000
2026-06-10,ABT,0.000000
2026-06-10,ACN,0.000000
2026-06-10,ADM,0.000000
2026-06-10,AFRM,0.000000
2026-06-10,AGG,0.000000
2026-06-10,AI,0.031300
2026-06-10,AIQ,0.000000
2026-06-10,AMAT,0.003900
2026-06-10,AMC,0.062500
2026-06-10,AMD,0.000000
2026-06-10,AMSC,0.031300
2026-06-10,AMZN,0.007800
2026-06-10,ARKG,0.000000
2026-06-10,ARKK,0.000100
2026-06-10,ASHR,0.003900
2026-06-10,ASTS,0.007800
2026-06-10,AWK,0.000000
2026-06-10,BABA,0.003900
2026-06-10,BAC,0.000000
2026-06-10,BB,0.031300
2026-06-10,BBAI,0.015600
2026-06-10,BBBY,0.000000
2026-06-10,BE,0.003900
2026-06-10,BEKE,0.007800
2026-06-10,BIDU,0.000000
2026-06-10,BITO,0.015600
2026-06-10,BLDP,0.125000
2026-06-10,BLNK,0.000000
2026-06-10,BMY,0.000000
2026-06-10,BND,0.002000
2026-06-10,BOTZ,0.015600
2026-06-10,BSX,0.002000
2026-06-10,BTBT,0.250000
2026-06-10,BWA,0.000000
2026-06-10,BYND,0.000000
2026-06-10,BZUN,0.000000
2026-06-10,C,0.003900
2026-06-10,CAVA,0.000000
2026-06-10,CDNS,0.000000
2026-06-10,CELH,0.000000
2026-06-10,CHPT,0.031300
2026-06-10,CIBR,0.000000
2026-06-10,CIFR,0.000000
2026-06-10,CIG,0.000000
2026-06-10,CINF,0.015600
2026-06-10,CL,0.003900
2026-06-10,CLOV,0.125000
2026-06-10,CLSK,0.007800
2026-06-10,CLX,0.031300
2026-06-10,CMG,0.007800
2026-06-10,COF,0.000000
2026-06-10,COP,0.003900
2026-06-10,CORN,0.000000
2026-06-10,CPNG,0.015600
2026-06-10,CPRT,0.062500
2026-06-10,CRM,0.000000
2026-06-10,CRWD,0.000300
2026-06-10,CSIQ,0.000000
2026-06-10,CTSH,0.000000
2026-06-10,CTVA,0.000000
2026-06-10,CVNA,0.000000
2026-06-10,CVS,0.000000
2026-06-10,CVX,0.007800
2026-06-10,D,0.000000
2026-06-10,DAL,0.000000
2026-06-10,DBC,0.000000
2026-06-10,DDOG,0.002000
2026-06-10,DG,0.000000
2026-06-10,DGX,0.000000
2026-06-10,DLTR,0.000000
2026-06-10,DOCU,0.000000
2026-06-10,DQ,0.062500
2026-06-10,DTE,0.000000
2026-06-10,DVN,0.000000
2026-06-10,DXC,0.031300
2026-06-10,DXCM,0.000000
2026-06-10,ECL,0.000000
2026-06-10,EDU,0.000000
2026-06-10,EEM,0.007800
2026-06-10,EL,0.007800
2026-06-10,ELF,0.015600
2026-06-10,ENPH,0.015600
2026-06-10,ES,0.015600
2026-06-10,EVRG,0.007800
2026-06-10,EWY,0.000000
2026-06-10,EWZ,0.007800
2026-06-10,EXC,0.000000
2026-06-10,F,0.007800
2026-06-10,FBTC,0.000000
2026-06-10,FCEL,0.002000
2026-06-10,FCX,0.000000
2026-06-10,FINV,0.062500
2026-06-10,FISV,0.000000
2026-06-10,FMC,0.125000
2026-06-10,FOUR,0.062500
2026-06-10,FRT,0.007800
2026-06-10,FSLR,0.002000
2026-06-10,FTNT,0.000000
2026-06-10,FUBO,0.000000
2026-06-10,FUTU,0.003900
2026-06-10,FVRR,0.000000
2026-06-10,FXI,0.000000
2026-06-10,GBTC,0.000000
2026-06-10,GDX,0.002000
2026-06-10,GE,0.000000
2026-06-10,GGB,0.250000
2026-06-10,GILD,0.000000
2026-06-10,GLBE,0.000000
2026-06-10,GLD,0.001000
2026-06-10,GME,0.031300
2026-06-10,GOOG,0.001000
2026-06-10,GOOGL,0.003900
2026-06-10,GRAB,0.125000
2026-06-10,HACK,0.000000
2026-06-10,HAL,0.000000
2026-06-10,HALO,0.000000
2026-06-10,HBAN,0.031300
2026-06-10,HD,0.007800
2026-06-10,HIMS,0.002000
2026-06-10,HON,0.000000
2026-06-10,HOOD,0.007800
2026-06-10,HPE,0.007800
2026-06-10,HPQ,0.007800
2026-06-10,HST,0.015600
2026-06-10,HUT,0.007800
2026-06-10,HUYA,0.015600
2026-06-10,IBIT,0.000000
2026-06-10,ICE,0.007800
2026-06-10,IEF,0.003900
2026-06-10,IJH,0.007800
2026-06-10,INTC,0.002000
2026-06-10,INTU,0.007800
2026-06-10,IONQ,0.015600
2026-06-10,IP,0.000000
2026-06-10,AAPL,0.000000
2026-06-10,ABEV,0.000000
2026-06-10,ABNB,0.000000
2026-06-10,ABT,0.000000
2026-06-10,ACN,0.000000
2026-06-10,ADM,0.000000
2026-06-10,AFRM,0.000000
2026-06-10,AGG,0.000000
2026-06-10,AI,0.031300
2026-06-10,AIQ,0.000000
2026-06-10,AMAT,0.003900
2026-06-10,AMC,0.062500
2026-06-10,AMD,0.000000
2026-06-10,AMSC,0.031300
2026-06-10,AMZN,0.007800
2026-06-10,ARKG,0.000000
2026-06-10,ARKK,0.000100
2026-06-10,ASHR,0.003900
2026-06-10,ASTS,0.007800
2026-06-10,AWK,0.000000
2026-06-10,BABA,0.003900
2026-06-10,BAC,0.000000
2026-06-10,BB,0.031300
2026-06-10,BBAI,0.015600
2026-06-10,BBBY,0.000000
2026-06-10,BE,0.003900
2026-06-10,BEKE,0.007800
2026-06-10,BIDU,0.000000
2026-06-10,BITO,0.015600
2026-06-10,BLDP,0.125000
2026-06-10,BLNK,0.000000
2026-06-10,BMY,0.000000
2026-06-10,BND,0.002000
2026-06-10,BOTZ,0.015600
2026-06-10,BSX,0.002000
2026-06-10,BTBT,0.250000
2026-06-10,BWA,0.000000
2026-06-10,BYND,0.000000
2026-06-10,BZUN,0.000000
2026-06-10,C,0.003900
2026-06-10,CAVA,0.000000
2026-06-10,CDNS,0.000000
2026-06-10,CELH,0.000000
2026-06-10,CHPT,0.031300
2026-06-10,CIBR,0.000000
2026-06-10,CIFR,0.000000
2026-06-10,CIG,0.000000
2026-06-10,CINF,0.015600
2026-06-10,CL,0.003900
2026-06-10,CLOV,0.125000
2026-06-10,CLSK,0.007800
2026-06-10,CLX,0.031300
2026-06-10,CMG,0.007800
2026-06-10,COF,0.000000
2026-06-10,COP,0.003900
2026-06-10,CORN,0.000000
2026-06-10,CPNG,0.015600
2026-06-10,CPRT,0.062500
2026-06-10,CRM,0.000000
2026-06-10,CRWD,0.000300
2026-06-10,CSIQ,0.000000
2026-06-10,CTSH,0.000000
2026-06-10,CTVA,0.000000
2026-06-10,CVNA,0.000000
2026-06-10,CVS,0.000000
2026-06-10,CVX,0.007800
2026-06-10,D,0.000000
2026-06-10,DAL,0.000000
2026-06-10,DBC,0.000000
2026-06-10,DDOG,0.002000
2026-06-10,DG,0.000000
2026-06-10,DGX,0.000000
2026-06-10,DLTR,0.000000
2026-06-10,DOCU,0.000000
2026-06-10,DQ,0.062500
2026-06-10,DTE,0.000000
2026-06-10,DVN,0.000000
2026-06-10,DXC,0.031300
2026-06-10,DXCM,0.000000
2026-06-10,ECL,0.000000
2026-06-10,EDU,0.000000
2026-06-10,EEM,0.007800
2026-06-10,EL,0.007800
2026-06-10,ELF,0.015600
2026-06-10,ENPH,0.015600
2026-06-10,ES,0.015600
2026-06-10,EVRG,0.007800
2026-06-10,EWY,0.000000
2026-06-10,EWZ,0.007800
2026-06-10,EXC,0.000000
2026-06-10,F,0.007800
2026-06-10,FBTC,0.000000
2026-06-10,FCEL,0.002000
2026-06-10,FCX,0.000000
2026-06-10,FINV,0.062500
2026-06-10,FISV,0.000000
2026-06-10,FMC,0.125000
2026-06-10,FOUR,0.062500
2026-06-10,FRT,0.007800
2026-06-10,FSLR,0.002000
2026-06-10,FTNT,0.000000
2026-06-10,FUBO,0.000000
2026-06-10,FUTU,0.003900
2026-06-10,FVRR,0.000000
2026-06-10,FXI,0.000000
2026-06-10,GBTC,0.000000
2026-06-10,GDX,0.002000
2026-06-10,GE,0.000000
2026-06-10,GGB,0.250000
2026-06-10,GILD,0.000000
2026-06-10,GLBE,0.000000
2026-06-10,GLD,0.001000
2026-06-10,GME,0.031300
2026-06-10,GOOG,0.001000
2026-06-10,GOOGL,0.003900
2026-06-10,GRAB,0.125000
2026-06-10,HACK,0.000000
2026-06-10,HAL,0.000000
2026-06-10,HALO,0.000000
2026-06-10,HBAN,0.031300
2026-06-10,HD,0.007800
2026-06-10,HIMS,0.002000
2026-06-10,HON,0.000000
2026-06-10,HOOD,0.007800
2026-06-10,HPE,0.007800
2026-06-10,HPQ,0.007800
2026-06-10,HST,0.015600
2026-06-10,HUT,0.007800
2026-06-10,HUYA,0.015600
2026-06-10,IBIT,0.000000
2026-06-10,ICE,0.007800
2026-06-10,IEF,0.003900
2026-06-10,IJH,0.007800
2026-06-10,INTC,0.002000
2026-06-10,INTU,0.007800
2026-06-10,IONQ,0.015600
2026-06-10,IP,0.000000
2026-06-10,IQ,0.000000
2026-06-10,IREN,0.000000
2026-06-10,IVZ,0.007800
2026-06-10,IWM,0.000000
2026-06-10,J,0.000000
2026-06-10,JD,0.000000
2026-06-10,JKHY,0.031300
2026-06-10,JKS,0.000000
2026-06-10,JNJ,0.003900
2026-06-10,JPM,0.000000
2026-06-10,KC,0.125000
2026-06-10,KEY,0.000000
2026-06-10,KEYS,0.000000
2026-06-10,KIM,0.000000
2026-06-10,KMB,0.007800
2026-06-10,KMI,0.015600
2026-06-10,KO,0.000000
2026-06-10,KSS,0.000000
2026-06-10,KWEB,0.000000
2026-06-10,LCID,0.000000
2026-06-10,LEN,0.007800
2026-06-10,LI,0.000000
2026-06-10,LNC,0.000000
2026-06-10,LOW,0.002000
2026-06-10,LRCX,0.002000
2026-06-10,LU,0.250000
2026-06-10,LUNR,0.003900
2026-06-10,LUV,0.000000
2026-06-10,LX,0.000000
2026-06-10,LYFT,0.031300
2026-06-10,MARA,0.031300
2026-06-10,MCD,0.002000
2026-06-10,MHK,0.000000
2026-06-10,MKC,0.062500
2026-06-10,MMM,0.015600
2026-06-10,MO,0.015600
2026-06-10,MOMO,0.062500
2026-06-10,MOS,0.031300
2026-06-10,MRK,0.007800
2026-06-10,MRNA,0.000000
2026-06-10,MRVL,0.003900
2026-06-10,MS,0.000000
2026-06-10,MSFT,0.000000
2026-06-10,MSOS,0.007800
2026-06-10,MU,0.000000
2026-06-10,NCLH,0.000000
2026-06-10,NEE,0.003900
2026-06-10,NEM,0.007800
2026-06-10,NET,0.000000
2026-06-10,NIO,0.125000
2026-06-10,NKE,0.000000
2026-06-10,NOK,0.031300
2026-06-10,NOV,0.015600
2026-06-10,NRG,0.001000
2026-06-10,NTAP,0.000100
2026-06-10,NTLA,0.015600
2026-06-10,NWL,0.000000
2026-06-10,NWSA,0.000000
2026-06-10,O,0.000000
2026-06-10,OKE,0.000000
2026-06-10,OKTA,0.001000
2026-06-10,ON,0.000100
2026-06-10,ORCL,0.000000
2026-06-10,OXY,0.015600
2026-06-10,PATH,0.000000
2026-06-10,PBR,0.031300
2026-06-10,PDD,0.000000
2026-06-10,PEP,0.003900
2026-06-10,PFE,0.000000
2026-06-10,PG,0.003900
2026-06-10,PINS,0.007800
2026-06-10,PLTR,0.000000
2026-06-10,PLUG,0.062500
2026-06-10,PM,0.000000
2026-06-10,PPL,0.015600
2026-06-10,PRCT,0.062500
2026-06-10,PYPL,0.003900
2026-06-10,QCOM,0.000000
2026-06-10,QFIN,0.125000
2026-06-10,QQQ,0.000500
2026-06-10,QS,0.062500
2026-06-10,QUBT,0.000000
2026-06-10,RBLX,0.000300
2026-06-10,RCL,0.002000
2026-06-10,RDW,0.000000
2026-06-10,RF,0.031300
2026-06-10,RGTI,0.000000
2026-06-10,RIOT,0.015600
2026-06-10,RIVN,0.000000
2026-06-10,RJF,0.000000
2026-06-10,RKLB,0.000000
2026-06-10,RKT,0.000000
2026-06-10,ROKU,0.002000
2026-06-10,ROL,0.000000
2026-06-10,RSG,0.000000
2026-06-10,RTX,0.007800
2026-06-10,RUN,0.000000
2026-06-10,RVLV,0.000000
2026-06-10,SBUX,0.000000
2026-06-10,SCHD,0.007800
2026-06-10,SCHW,0.007800
2026-06-10,SE,0.003900
2026-06-10,SEDG,0.007800
2026-06-10,SHOP,0.000000
2026-06-10,SHY,0.002000
2026-06-10,SID,0.000000
2026-06-10,SILJ,0.015600
